totalPrice,Lng,Lat,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,fiveYearsProperty,subway
163.5,116.34399199999999,40.078435999999996,51.0,1,0,1,1,0,1.0,2011,4,6,1.0,0.0,1.0
510.0,116.377299,39.984455,58.4,2,1,1,1,1,1.0,1995,4,6,1.0,0.0,1.0
730.0,116.393805,39.973724,79.5,3,1,1,1,0,1.0,1992,3,6,1.0,1.0,1.0
140.0,116.285133,39.888467999999996,26.0,1,0,0,1,0,3.0,2012,4,6,1.0,0.0,0.0
480.0,116.330198,40.074228000000005,93.15,2,1,1,1,1,3.0,2007,1,6,1.0,0.0,1.0
200.0,116.401854,39.861344,64.31,1,0,1,1,2,1.0,2004,1,6,1.0,1.0,0.0
1220.0,116.305298,39.979471000000004,160.0,3,2,1,2,4,4.0,2000,4,2,0.0,1.0,1.0
790.0,116.430435,39.864574,147.18,3,2,1,2,1,1.0,2000,4,6,1.0,1.0,1.0
290.0,116.451194,39.854478,64.93,1,1,1,1,0,1.0,1999,3,6,1.0,0.0,1.0
224.0,116.457526,39.8764,65.14,1,1,1,1,1,1.0,2009,1,6,1.0,0.0,1.0
630.0,116.52013000000001,39.936383,139.41,3,2,1,2,4,4.0,2008,3,6,1.0,1.0,1.0
422.0,116.274354,40.170887,138.0,3,2,1,2,0,4.0,2008,4,6,1.0,0.0,0.0
510.0,116.69006999999999,39.870642,99.0,2,2,1,1,1,4.0,2010,4,6,1.0,1.0,0.0
260.0,116.40351100000001,39.872127,58.03,2,1,1,1,1,4.0,1985,1,4,0.0,0.0,1.0
236.5,116.175983,39.767012,92.71,2,1,1,1,0,3.0,2007,1,6,1.0,0.0,0.0
399.0,116.217497,39.774477000000005,126.54,3,2,1,2,0,4.0,2013,2,6,1.0,0.0,1.0
209.0,116.32234299999999,39.856246,52.0,1,1,1,1,4,4.0,2001,3,2,0.0,1.0,1.0
460.0,116.53026799999999,39.931226,71.9,2,1,1,1,1,4.0,2000,4,2,0.0,1.0,1.0
545.0,116.451197,39.946843,59.54,2,1,1,1,0,1.0,1992,4,6,1.0,0.0,1.0
